,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,reg_f,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
52,52,45,2.5,350,184,0,0,66016.5968,0,51935.9965,51935.9965,2.018664699600213,44940.4008,0,42842.6823,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.6666,3.6666,3.8461,3.8461,35405.9005,42848.9909,40330.8844,184602.3727,0,35405.9005,42848.9909,34561.7673,164752.6552,0
53,53,50,2.5,350,184,0,0,66016.5968,0,66016.5968,66016.5968,2.481912791513045,44940.4008,0,42842.6823,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.6666,3.6666,3.8461,3.8461,35405.9005,42848.9909,40330.8844,184602.3727,0,35405.9005,42848.9909,40330.8844,184602.3727,0
54,54,55,2.5,350,184,0,0,66016.5968,0,80027.9937,80027.9937,2.9451608834258765,44940.4008,0,42842.6823,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.6666,3.6666,3.8461,3.8461,35405.9005,42848.9909,40330.8844,184602.3727,0,35405.9005,42848.9909,46169.205,204452.0902,0
55,55,60,2.5,350,184,0,0,66016.5968,0,94030.4125,94030.4125,3.4084089753387072,44940.4008,0,42842.6823,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.6666,3.6666,3.8461,3.8461,35405.9005,42848.9909,40330.8844,184602.3727,0,35405.9005,42848.9909,52016.5036,224301.8076,0
56,56,25,2.5,350,244,0,0,63255.9718,0,-7831.7292,-7831.7292,0.08048050077713945,44940.4008,0,47234.8434,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.0425,4.0425,3.8461,3.8461,39056.2853,42848.9909,39441.1246,184602.3727,0,39056.2853,42848.9909,11280.2382,85353.7852,0
57,57,30,2.5,350,244,0,0,63255.9718,0,6584.0357,6584.0357,0.5437285926899702,44940.4008,0,47234.8434,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.0425,4.0425,3.8461,3.8461,39056.2853,42848.9909,39441.1246,184602.3727,0,39056.2853,42848.9909,16714.1908,105203.5027,0
58,58,35,2.5,350,244,0,0,63255.9718,0,20831.9343,20831.9343,1.0069766846028014,44940.4008,0,47234.8434,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.0425,4.0425,3.8461,3.8461,39056.2853,42848.9909,39441.1246,184602.3727,0,39056.2853,42848.9909,22316.0097,125053.2202,0
59,59,40,2.5,350,244,0,0,63255.9718,0,35031.4299,35031.4299,1.4702247765156327,44940.4008,0,47234.8434,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.0425,4.0425,3.8461,3.8461,39056.2853,42848.9909,39441.1246,184602.3727,0,39056.2853,42848.9909,27966.2315,144902.9377,0
60,60,45,2.5,350,244,0,0,63255.9718,0,49143.7009,49143.7009,1.9334728684284628,44940.4008,0,47234.8434,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.0425,4.0425,3.8461,3.8461,39056.2853,42848.9909,39441.1246,184602.3727,0,39056.2853,42848.9909,33703.6781,164752.6552,0
61,61,50,2.5,350,244,0,0,63255.9718,0,63255.9718,63255.9718,2.3967209603412947,44940.4008,0,47234.8434,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.0425,4.0425,3.8461,3.8461,39056.2853,42848.9909,39441.1246,184602.3727,0,39056.2853,42848.9909,39441.1246,184602.3727,0
