,ID,E_Brent,NE_C1,M1_C1,M2_C1,SW_C1,costo_gel,capex_h,opex_h,produc_h,costo_gel_p,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
125,125,50,1,1,0,1,4.2,1,1,1.1,1,0,5670.0364,0,5690.5065,5690.5065,5.9476944066933495,2897.9009,0,113.1998,0.0,0.5146186125043832,0.5146186125043832,0.0,0.5146186125043832,0.5146186125043832,2056.0,2056.0,0.18,0.18,2.3265,2.3265,45.2813,1381.52,2520.4342,9617.2719,0,45.2813,1381.52,2529.2071,9646.515,0
126,126,50,1,1,1,0,4.2,1,1,1.1,1,0,9481.3122,0,9519.9339,9519.9339,6.831982482998009,4215.1285,0,182.8492,0.0,0.834831979713925,0.834831979713925,0.0,0.834831979713925,0.834831979713925,2056.0,2056.0,0.18,0.18,2.0954,2.0954,73.7287,2009.4837,4188.9667,15753.4913,0,73.7287,2009.4837,4205.5189,15808.6652,0
127,127,50,1,1,1,1,4.2,1,1,1.1,1,0,10194.5897,0,10233.2115,10233.2115,6.909385208290616,4478.574,0,196.7791,0.0,0.8961168346822582,0.8961168346822582,0.0,0.8961168346822582,0.8961168346822582,2056.0,2056.0,0.18,0.18,2.0688,2.0688,79.4182,2135.0764,4501.7737,16910.8581,0,79.4182,2135.0764,4518.3259,16966.032,0
128,128,50,0,0,0,0,4.2,1,1,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,129,50,0,0,0,1,4.2,1,1,1,1,0,639.9027,0,639.9027,639.9027,7.312592629178724,263.4455,0,12.6635,0.0,0.05571350451666668,0.05571350451666668,0.0,0.05571350451666668,0.05571350451666668,2056.0,2056.0,0.18,0.18,1.8914,1.8914,5.1723,125.5927,281.484,1052.1517,0,5.1723,125.5927,281.484,1052.1517,0
130,130,50,0,0,1,0,4.2,1,1,1,1,0,4061.7524,0,4078.2538,4078.2538,7.784504596009747,1580.6732,0,75.9812,0.0,0.34681656561625007,0.34681656561625007,0.0,0.34681656561625007,0.34681656561625007,2056.0,2056.0,0.18,0.18,1.8914,1.8914,31.0335,753.5564,1784.1906,6630.5328,0,31.0335,753.5564,1791.2626,6654.1064,0
131,131,50,0,0,1,1,4.2,1,1,1,1,0,4701.6551,0,4718.1565,4718.1565,7.725714603717712,1844.1187,0,88.6447,0.0,0.4025300701329167,0.4025300701329167,0.0,0.4025300701329167,0.4025300701329167,2056.0,2056.0,0.18,0.18,1.8914,1.8914,36.2058,879.1491,2065.6745,7682.6845,0,36.2058,879.1491,2072.7466,7706.258,0
132,132,50,0,1,0,0,4.2,1,1,1,1,0,3065.9381,0,3079.0468,3079.0468,4.446748341790709,2107.5643,0,64.9183,0.0,0.29651607588796197,0.29651607588796197,0.0,0.29651607588796197,0.29651607588796197,2056.0,2056.0,0.18,0.18,2.9497,2.9497,25.6481,1004.7418,1384.3172,5480.6452,0,25.6481,1004.7418,1389.9352,5499.372,0
133,133,50,0,1,0,1,4.2,1,1,1,1,0,3706.3499,0,3719.4586,3719.4586,4.7702378360851165,2371.0098,0,77.5818,0.0,0.35222958040462865,0.35222958040462865,0.0,0.35222958040462865,0.35222958040462865,2056.0,2056.0,0.18,0.18,2.7771,2.7771,30.8203,1130.3346,1665.2921,6532.7969,0,30.8203,1130.3346,1670.9102,6551.5236,0
134,134,50,0,1,1,0,4.2,1,1,1,1,0,7129.3726,0,7158.9828,7158.9828,5.880829663760532,3688.2374,0,140.8995,0.0,0.6433326415042121,0.6433326415042121,0.0,0.6433326415042121,0.6433326415042121,2056.0,2056.0,0.18,0.18,2.3792,2.3792,56.6816,1758.2982,3166.8257,12111.1781,0,56.6816,1758.2982,3179.5158,12153.4784,0
135,135,50,0,1,1,1,4.2,1,1,1,1,0,7769.3939,0,7799.0041,7799.0041,5.976584511766209,3951.683,0,153.563,0.0,0.6990461460208784,0.6990461460208784,0.0,0.6990461460208784,0.6990461460208784,2056.0,2056.0,0.18,0.18,2.339,2.339,61.8538,1883.8909,3448.1911,13163.3297,0,61.8538,1883.8909,3460.8811,13205.63,0
136,136,50,1,0,0,0,4.2,1,1,1,1,0,1353.9175,0,1359.4179,1359.4179,7.7948425835210475,526.8911,0,25.3271,0.0,0.11560552187208334,0.11560552187208334,0.0,0.11560552187208334,0.11560552187208334,2056.0,2056.0,0.18,0.18,1.8914,1.8914,10.3445,251.1855,594.7302,2210.1776,0,10.3445,251.1855,597.0875,2218.0355,0
137,137,50,1,0,0,1,4.2,1,1,1,1,0,1993.8202,0,1999.3207,1999.3207,7.6336662062077005,790.3366,0,37.9906,0.0,0.17131902638875,0.17131902638875,0.0,0.17131902638875,0.17131902638875,2056.0,2056.0,0.18,0.18,1.8914,1.8914,15.5168,376.7782,876.2141,3262.3293,0,15.5168,376.7782,878.5715,3270.1871,0
138,138,50,1,0,1,0,4.2,1,1,1,1,0,5415.6698,0,5437.6718,5437.6718,7.787086521248887,2107.5643,0,101.3082,0.0,0.4624220874883333,0.4624220874883333,0.0,0.4624220874883333,0.4624220874883333,2056.0,2056.0,0.18,0.18,1.8914,1.8914,41.378,1004.7418,2378.9208,8840.7105,0,41.378,1004.7418,2388.3502,8872.1418,0
139,139,50,1,0,1,1,4.2,1,1,1,1,0,6055.5725,0,6077.5745,6077.5745,7.741069579762523,2371.0098,0,113.9718,0.0,0.518135592005,0.518135592005,0.0,0.518135592005,0.518135592005,2056.0,2056.0,0.18,0.18,1.8914,1.8914,46.5503,1130.3346,2660.4047,9892.8621,0,46.5503,1130.3346,2669.8341,9924.2935,0
140,140,50,1,1,0,0,4.2,1,1,1,1,0,4420.7308,0,4439.3401,4439.3401,5.115834054111025,2634.4553,0,90.2453,0.0,0.41212159776004526,0.41212159776004526,0.0,0.41212159776004526,0.41212159776004526,2056.0,2056.0,0.18,0.18,2.6529,2.6529,35.9926,1255.9273,1978.1721,7690.8228,0,35.9926,1255.9273,1986.1475,7717.4074,0
141,141,50,1,1,0,1,4.2,1,1,1,1,0,5060.9097,0,5079.5189,5079.5189,5.316117397424,2897.9009,0,102.9089,0.0,0.46783510227671204,0.46783510227671204,0.0,0.46783510227671204,0.46783510227671204,2056.0,2056.0,0.18,0.18,2.5592,2.5592,41.1648,1381.52,2259.3799,8742.9745,0,41.1648,1381.52,2267.3553,8769.5591,0
142,142,50,1,1,1,0,4.2,1,1,1,1,0,8483.5091,0,8518.6198,8518.6198,6.1199621888276745,4215.1285,0,166.2265,0.0,0.7589381633762953,0.7589381633762953,0.0,0.7589381633762953,0.7589381633762953,2056.0,2056.0,0.18,0.18,2.3049,2.3049,67.0261,2009.4837,3761.3368,14321.3557,0,67.0261,2009.4837,3776.3842,14371.5138,0
143,143,50,1,1,1,1,4.2,1,1,1,1,0,9123.4981,0,9158.6088,9158.6088,6.19034693612708,4478.574,0,178.8901,0.0,0.8146516678929621,0.8146516678929621,0.0,0.8146516678929621,0.8146516678929621,2056.0,2056.0,0.18,0.18,2.2756,2.2756,72.1984,2135.0764,4042.7345,15373.5073,0,72.1984,2135.0764,4057.7819,15423.6655,0
