,ID,E_Brent,NE_C1,NE_C2,NE_C3,NE_C4,NE_C5,M1_C1,M2_C1,M2_C2,B44_C1,B44_C2,SW_C1,reg_f,Oil,Gas_Prod,Gross_Fluid,Water_Injected,Producer_Well,Water_Injection_Well,total_opex,Perforacion,Facilidades,Abandono,total_capex,VPN_Total,volumen_T_LE_p
97,97,55,0,1,0,0,0,1,1,0,0,0,1,0,0,0,11007.8665,20155.2221,5037.39,6716.52,42916.9987,23910,7082.1631,368.9,31361.0631,48318.6923,3957.3179227435207
98,98,55,0,1,0,0,0,1,1,0,1,0,0,0,0,0,6752.0607,11999.0521,11442.96,3358.26,33552.3329,29390,7958.1433,474.3,37822.4433,41787.3438,3377.420460825773
99,99,55,0,1,0,0,0,1,1,0,1,0,1,0,0,0,12159.1235,20155.2221,13122.09,6716.52,52152.9556,37620,10610.8313,632.4,48863.2313,64365.3786,5431.445930425399
100,100,55,0,1,0,0,0,1,1,0,0,1,0,0,0,0,7586.3323,15169.9019,11442.96,3358.26,37557.4541,30310,8516.5804,474.3,39300.8804,45107.4901,3678.5282779644335
101,101,55,0,1,0,0,0,1,1,0,0,1,1,0,0,0,12993.3951,23326.0719,13122.09,6716.52,56158.0769,38540,11169.2684,632.4,50341.6684,67763.7783,5778.3031501354235
102,102,55,0,1,0,0,0,1,0,1,0,0,0,0,0,0,6350.964,13032.4849,5037.39,1679.13,26099.9689,15080,4926.1129,210.8,20216.9129,23569.9552,1762.292570099558
103,103,55,0,1,0,0,0,1,0,1,0,0,1,0,0,0,11758.0267,21188.6549,6716.52,5037.39,44700.5916,23310,7578.8009,368.9,31257.7009,45924.2704,3874.7528907338315
104,104,55,0,1,0,0,0,1,0,1,1,0,0,0,0,0,7502.2209,13032.4849,13122.09,1679.13,35335.9259,28790,8454.7812,474.3,37719.0812,39384.1102,3274.5630182745545
105,105,55,0,1,0,0,0,1,0,1,1,0,1,0,0,0,12909.2837,21188.6549,14801.22,5037.39,53936.5486,37020,11107.4692,632.4,48759.8692,61945.9855,5348.8808984157085
106,106,55,0,1,0,0,0,1,0,1,0,1,0,0,0,0,8336.4925,16203.3346,13122.09,1679.13,39341.0471,29710,9013.2183,474.3,39197.5183,42700.0928,3595.963245954744
107,107,55,0,1,0,0,0,1,0,1,0,1,1,0,0,0,13743.5552,24359.5046,14801.22,5037.39,57941.6699,37940,11665.9063,632.4,50238.3063,65344.3429,5695.738118125734
108,108,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,895.942,2156.22,3358.26,1679.13,8089.552,9340,2150.3763,158.1,11648.4763,22159.7188,1258.0400806861912
109,109,55,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6303.0048,10312.39,5037.39,5037.39,26690.1748,17570,4803.0643,316.2,22689.2643,44856.7049,3321.511223427579
110,110,55,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2047.199,2156.22,11442.96,1679.13,17325.509,23050,5679.0445,421.6,29150.6445,38217.1212,2739.825154502466
111,111,55,0,0,1,0,0,0,0,0,1,0,1,0,0,0,7454.2618,10312.39,13122.09,5037.39,35926.1318,31280,8331.7326,579.7,40191.4326,60876.6869,4805.242031626296
112,112,55,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2881.4706,5327.0697,11442.96,1679.13,21330.6303,23970,6237.4817,421.6,30629.0817,41544.551,3060.791213521926
113,113,55,0,0,1,0,0,0,0,0,0,1,1,0,0,0,8288.5333,13483.2397,13122.09,5037.39,39931.2531,32200,8890.1697,579.7,41669.8697,64287.6746,5117.166059145924
114,114,55,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2612.8695,5773.2348,3358.26,3358.26,15102.6243,13440,2999.507,210.8,16650.307,31040.8163,1814.3300876721007
115,115,55,0,0,1,0,0,0,1,0,0,0,1,0,0,0,8019.9323,13929.4048,5037.39,6716.52,33703.247,21670,5652.195,368.9,27691.095,53610.5431,3874.574967730845
116,116,55,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3764.1265,5773.2348,11442.96,3358.26,24338.5812,27150,6528.1752,474.3,34152.4752,47013.8737,3299.594606786346
117,117,55,0,0,1,0,0,0,1,0,1,0,1,0,0,0,9171.1892,13929.4048,13122.09,6716.52,42939.204,35380,9180.8633,632.4,45193.2633,69667.325,5381.507752517745
